email,crop_type,season,yield_amount,fertilizer_used,quantity,price,crop_date
farmer1@agripulse.com,Rice,Kharif,3.2,Urea,,,
farmer1@agripulse.com,Rice,Rabi,2.8,DAP,,,
farmer2@agripulse.com,Tomato,Rabi,12.5,MOP,,,
farmer3@agripulse.com,Wheat,Rabi,4.1,Urea,,,
farmer3@agripulse.com,Maize,Kharif,5.5,DAP,,,
farmer4@agripulse.com,Potato,Rabi,18.0,MOP,,,
farmer5@agripulse.com,Maize,Kharif,4.8,Urea,,,
farmer6@agripulse.com,Pepper,Zaid,6.2,DAP,,,
farmer7@agripulse.com,Jute,Kharif,2.1,Urea,,,
farmer8@agripulse.com,Rice,Kharif,3.0,MOP,,,
farmer1@agripulse.com,rice,Kharif,,dd,100.0,40.0,2026-05-06
farmer1@agripulse.com,rice,Kharif,,,400.0,78.0,2026-06-01
farmer1@agripulse.com,Rice,Kharif,4.5,Urea,300.0,42.0,2026-06-20
chandra@gmail.com,rice,Kharif,,,100.0,10.0,2026-06-26
chandra@gmail.com,rice,Kharif,,test,78.0,9.0,2026-06-30
chandra@gmail.com,tomato,Kharif,10.0,Vermicompost,100.0,18.0,2026-07-16
chandra@gmail.com,potato,Rabi,30.0,Gypsum,100.0,27.0,
chandra@gmail.com,potato,Kharif,589.0,Gypsum,100.0,18.0,2026-06-17
chandra@gmail.com,rice,Zaid,888.0,Gypsum,780.0,89.0,2026-07-10
chandra@gmail.com,pulse,Kharif,467.0,DAP,467.0,188.0,2026-06-30
chandra@gmail.com,test1,Kharif,111.0,Compost,1111.0,111.0,2026-06-25
